code,name,ultimate,element,win,vs_empty,vs_empty_error,vs_punch,vs_punch_error,cast_rate,dodge_rate,damage,win_зеркало,win_танк,win_ловкач
__none__,Без слотов (моб),False,—,60.175,4.791666666666667,1.226840807462258,1.9666666666666666,1.2000063967505825,0.0,0.0,991.6060833333333,56.99999999999999,60.02499999999999,63.5
__empty__,Пустые слоты,False,—,55.383333333333326,0.0,0.0,-2.825,1.0007064328803819,0.0,0.0,975.7951666666667,50.425,60.099999999999994,55.625
sim_idle,Пустой свиток,False,💨 Воздушный,45.175,-10.208333333333334,1.0807573977607494,-13.033333333333333,1.0343647213762166,91.325,0.0,942.90775,39.825,50.075,45.625
sim_punch,Свиток-удар,False,💨 Воздушный,58.20833333333333,2.825,1.0007064328803819,0.0,0.0,91.325,12.583264896432155,983.24725,53.449999999999996,62.849999999999994,58.325
scroll_arcane_spark,Искра эфира,False,💨 Воздушный,63.575,8.191666666666666,1.001113288448798,5.366666666666667,0.40323472449526426,91.325,12.583264896432155,995.6905,58.875,67.80000000000001,64.05
scroll_crimson_comet,Багровая комета,False,🔥 Огненный,70.75833333333334,15.375,0.9853799358320545,12.55,0.5927687696180691,91.325,12.583264896432155,1011.343,66.675,75.05,70.55
scroll_chain_lightning,Цепная молния,False,💨 Воздушный,62.3,6.916666666666667,1.0011287122094001,4.091666666666667,0.9350291985707243,91.325,0.0,996.3715833333333,56.85,65.95,64.1
scroll_frost_seal,Ледяная печать,False,❄️ Морозный,61.76666666666667,6.383333333333334,0.9963887291693482,3.5583333333333336,0.3314661719431853,91.325,12.583264896432155,992.2631666666666,57.599999999999994,65.975,61.724999999999994
scroll_gravity_thread,Нить гравитации,False,🪨 Земля,64.75,9.366666666666665,1.0696869579101482,6.541666666666666,0.9450674586323742,91.325,12.583264896432155,999.3093333333334,60.25,70.42500000000001,63.575
scroll_twilight_needle,Игла сумрака,False,❄️ Морозный,62.391666666666666,7.008333333333333,0.9970520684351357,4.183333333333334,0.3582327684781961,91.325,12.583264896432155,992.9753333333333,57.8,66.8,62.575
scroll_royal_barrier,Королевский барьер,False,❄️ Морозный,75.35833333333333,19.975,1.02738211190454,17.150000000000002,0.9834450572765737,91.325,0.0,1021.0355833333333,70.19999999999999,82.72500000000001,73.15
